sampleName	Replicate	crossID	populationOrigin	Genotype	Generation	MaternalGenotype	TissueType	PooledCount	reads_postTrim	Project	seq_Run	seq_Lane	fileName
BayII_prototroch	1	BayII	Bayonne	PP	P0	P	prototroch	70	12907128	timecourse	tc2	L001	BayII_PP_prototroch_70_S11_L001_quant.sf
BayLL_1week	1	BayLL	Bayonne	PP	P0	P	1week	20	9650047	timecourse	tc1	L001	BayLL_PP_1week_20_5-13_S17_L001_quant.sf
BayLL_swimming	1	BayLL	Bayonne	PP	P0	P	swimming	50	27294711	timecourse	tc2	L001	BayLL_PP_swimming_50_6-14_S9_L001_quant.sf
BayOO_16cell	1	BayOO	Bayonne	PP	P0	P	16cell	80	17905185	timecourse	tc2	L001	BayOO_PP_16cell_80_5-29_S22_L001_quant.sf
BayPP_16cell	1	BayPP	Bayonne	PP	P0	P	16cell	70	13124220	timecourse	tc1	L001	BayPP_PP_16cell_70_5-21_S22_L001_quant.sf
BayPP_1week	1	BayPP	Bayonne	PP	P0	P	1week	30	9279722	timecourse	tc1	L001	BayPP_PP_1week_30_6-10_S39_L001_quant.sf
BayPP_blastula	1	BayPP	Bayonne	PP	P0	P	blastula	70	18988972	timecourse	tc1	L001	BayPP_PP_blastula_70_5-21_S25_L001_quant.sf
BayPP_gastrula	1	BayPP	Bayonne	PP	P0	P	gastrula	55	6139913	timecourse	tc1	L002	BayPP_PP_gastrula_55_5-22_S49_L002_quant.sf
BayPP_prototroch	1	BayPP	Bayonne	PP	P0	P	prototroch	50	16408550	timecourse	tc1	L001	BayPP_PP_prototroch_50_5-23_S3_L001_quant.sf
BayPP_swimming	1	BayPP	Bayonne	PP	P0	P	swimming	50	29768494	timecourse	tc1	L001	BayPP_PP_swimming_50_5-29_S10_L001_quant.sf
BayRR_16cell	1	BayRR	Bayonne	PP	P0	P	16cell	80	11973760	timecourse	tc2	L001	BayRR_PP_16cell_80_05-27_S6_L001_quant.sf
BayRR_gastrula	1	BayRR	Bayonne	PP	P0	P	gastrula	70	12975208	timecourse	tc2	L001	BayRR_PP_gastrula_70_6-03_S7_L001_quant.sf
BayVV_16cell	1	BayVV	Bayonne	PP	P0	P	16cell	70	15835599	timecourse	tc2	L001	BayVV_PP_16cell_70_5-19_S23_L001_quant.sf
BayXX_16cell	1	BayXX	Bayonne	PP	P0	P	16cell	80	12329490	timecourse	tc1	L001	BayXX_PP_16cell_80_5-19_S19_L001_quant.sf
BayXX_1week	1	BayXX	Bayonne	PP	P0	P	1week	30	12567153	timecourse	tc1	L001	BayXX_PP_1week_30_6-11_S13_L001_quant.sf
BayXX_blastula	1	BayXX	Bayonne	PP	P0	P	blastula	70	9846928	timecourse	tc1	L001	BayXX_PP_blastula_70_5-20_S21_L001_quant.sf
BayXX_gastrula	1	BayXX	Bayonne	PP	P0	P	gastrula	80	10917392	timecourse	tc1	L001	BayXX_PP_gastrula_80_5-28_S47_L001_quant.sf
BayXX_prototroch	1	BayXX	Bayonne	PP	P0	P	prototroch	50	15440244	timecourse	tc1	L001	BayXX_PP_prototroch_50_5-21_S48_L001_quant.sf
BayXX_swimming	1	BayXX	Bayonne	PP	P0	P	swimming	60	55850503	timecourse	tc1	L001	BayXX_PP_swimming_60_5-30_S11_L001_quant.sf
BayYY_16cell	1	BayYY	Bayonne	PP	P0	P	16cell	80	17557366	timecourse	tc2	L001	BayYY_PP_16cell_80_6-03_S1_seq2_L001_quant.sf
BayYY_16cell	1	BayYY	Bayonne	PP	P0	P	16cell	80	332	timecourse	tc1	L001	BayYY_PP_16cell_80_6-03_S2_L001_quant.sf
BayYY_1week	1	BayYY	Bayonne	PP	P0	P	1week	30	10227762	timecourse	tc1	L002	BayYY_PP_1week_30_6-10_S53_L002_quant.sf
BayYY_blastula	1	BayYY	Bayonne	PP	P0	P	blastula	70	19261938	timecourse	tc2	L001	BayYY_PP_blastula_70_5-20_S3_seq2_L001_quant.sf
BayYY_blastula	1	BayYY	Bayonne	PP	P0	P	blastula	70	1114	timecourse	tc1	L001	BayYY_PP_blastula_70_5-20_S4_L001_quant.sf
BayYY_gastrula	1	BayYY	Bayonne	PP	P0	P	gastrula	70	24963165	timecourse	tc1	L001	BayYY_PP_gastrula_70_5-21_S5_L001_quant.sf
BayYY_prototroch	1	BayYY	Bayonne	PP	P0	P	prototroch	60	12267	timecourse	tc1	L001	BayYY_PP_prototroch_60_5-28_S6_L001_quant.sf
BayYY_swimming	1	BayYY	Bayonne	PP	P0	P	swimming	30	14303750	timecourse	tc1	L002	BayYY_PP_swimming_30_5-23_S58_L002_quant.sf
F1Bay1_16cell	1	F1Bay1	F1	PL	F1	P	16cell	80	3235196	timecourse	tc1	L001	F1Bay1_PL_16cell_80_9-17_S1_L001_quant.sf
F1Bay1_16cell	1	F1Bay1	F1	PL	F1	P	16cell	80	13934634	timecourse	tc2	L001	F1Bay1_PL_16cell_80_9-17_S4_seq2_L001_quant.sf
F1Bay1_1week	1	F1Bay1	F1	PL	F1	P	1week	20	16898658	timecourse	tc1	L001	F1Bay1_PL_1week_20_9-18_S37_L001_quant.sf
F1Bay1_blastula	1	F1Bay1	F1	PL	F1	P	blastula	40	21776504	timecourse	tc1	L002	F1Bay1_PL_blastula_40_9-24_S83_L002_quant.sf
F1Bay1_gastrula	1	F1Bay1	F1	PL	F1	P	gastrula	40	22773216	timecourse	tc1	L001	F1Bay1_PL_gastrula_40_9-18_S30_L001_quant.sf
F1Bay1_prototroch	1	F1Bay1	F1	PL	F1	P	prototroch	40	14758472	timecourse	tc1	L001	F1Bay1_PL_prototroch_40_9-07_S35_L001_quant.sf
F1Bay1_swimming	1	F1Bay1	F1	PL	F1	P	swimming	30	10627216	timecourse	tc1	L001	F1Bay1_PL_swimming_30_9-08_S36_L001_quant.sf
F1Bay2_16cell	1	F1Bay2	F1	PL	F1	P	16cell	40	15132276	timecourse	tc1	L001	F1Bay2_PL_16cell_40_9-07_S38_L001_quant.sf
F1Bay2_1week	1	F1Bay2	F1	PL	F1	P	1week	10	13406047	timecourse	tc2	L001	F1Bay2_PL_1week_10_10-26_S14_seq2_L001_quant.sf
F1Bay2_1week	1	F1Bay2	F1	PL	F1	P	1week	10	861139	timecourse	tc1	L002	F1Bay2_PL_1week_10_10-26_S84_L002_quant.sf
F1Bay2_blastula	1	F1Bay2	F1	PL	F1	P	blastula	40	12464502	timecourse	tc1	L001	F1Bay2_PL_blastula_40_9-20_S40_L001_quant.sf
F1Bay2_gastrula	1	F1Bay2	F1	PL	F1	P	gastrula	15	47876857	timecourse	tc1	L002	F1Bay2_PL_gastrula_15_10-8_S63_L002_quant.sf
F1Bay2_prototroch	1	F1Bay2	F1	PL	F1	P	prototroch	25	11393900	timecourse	tc1	L002	F1Bay2_PL_prototroch_25_9-09_S56_L002_quant.sf
F1Bay2_swimming	1	F1Bay2	F1	PL	F1	P	swimming	25	16130346	timecourse	tc1	L002	F1Bay2_PL_swimming_25_10-20_S76_L002_quant.sf
F1Bay3_16cell	1	F1Bay3	F1	PL	F1	P	16cell	70	8428717	timecourse	tc1	L002	F1Bay3_PL_16cell_70_9-17_S59_L002_quant.sf
F1Bay3_1week	1	F1Bay3	F1	PL	F1	P	1week	15	17564853	timecourse	tc1	L002	F1Bay3_PL_1week_15_10-10_S78_L002_quant.sf
F1Bay3_gastrula	1	F1Bay3	F1	PL	F1	P	gastrula	40	9966500	timecourse	tc1	L002	F1Bay3_PL_gastrula_40_9-24_S57_L002_quant.sf
F1Bay3_prototroch	1	F1Bay3	F1	PL	F1	P	prototroch	40	18591786	timecourse	tc1	L002	F1Bay3_PL_prototroch_40_9-19_S86_L002_quant.sf
F1Bay3_swimming	1	F1Bay3	F1	PL	F1	P	swimming	15	14449665	timecourse	tc1	L002	F1Bay3_PL_swimming_15_10-6_S65_L002_quant.sf
F1Bay4_blastula	1	F1Bay4	F1	PL	F1	P	blastula	40	16121418	timecourse	tc2	L001	F1Bay4_PL_blastula_40_9-22_S15_seq2_L001_quant.sf
F1Bay4_blastula	1	F1Bay4	F1	PL	F1	P	blastula	40	1795321	timecourse	tc1	L002	F1Bay4_PL_blastula_40_9-22_S85_L002_quant.sf
F1Bay4_prototroch	1	F1Bay4	F1	PL	F1	P	prototroch	40	19305713	timecourse	tc2	L001	F1Bay4_PL_prototroch_40_9-20_S21_L001_quant.sf
F1Bay4_swimming	1	F1Bay4	F1	PL	F1	P	swimming	20	698926	timecourse	tc1	L002	F1Bay4_PL_swimming_20_9-21_S77_L002_quant.sf
F1Bay5_1week	1	F1Bay5	F1	PL	F1	P	1week	20	11505050	timecourse	tc1	L002	F1Bay5_PL_1week_20_10-22_S62_L002_quant.sf
F1Bay5_blastula	1	F1Bay5	F1	PL	F1	P	blastula	40	20486386	timecourse	tc2	L001	F1Bay5_PL_blastula_40_11-18_S16_L001_quant.sf
F1Bay5_gastrula	1	F1Bay5	F1	PL	F1	P	gastrula	40	11043607	timecourse	tc1	L002	F1Bay5_PL_gastrula_40_9-23_S75_L002_quant.sf
F1Bay5_prototroch	1	F1Bay5	F1	PL	F1	P	prototroch	30	11768690	timecourse	tc1	L002	F1Bay5_PL_prototroch_30_9-24_S79_L002_quant.sf
F1Bay5_swimming	1	F1Bay5	F1	PL	F1	P	swimming	30	8702326	timecourse	tc1	L002	F1Bay5_PL_swimming_30_10-19_S61_L002_quant.sf
F1K_16cell	1	F1K	F1	PL	F1	P	16cell	80	10938274	timecourse	tc1	L002	F1K_PL_16cell_80_S50_L002_quant.sf
F1K_blastula	1	F1K	F1	PL	F1	P	blastula	60	12691910	timecourse	tc1	L002	F1K_PL_blastula_60_S52_L002_quant.sf
F1K_gastrula	1	F1K	F1	PL	F1	P	gastrula	25	12741762	timecourse	tc1	L002	F1K_PL_gastrula_25_S54_L002_quant.sf
F1K_prototroch	1	F1K	F1	PL	F1	P	prototroch	13	8392873	timecourse	tc1	L002	F1K_PL_prototroch_13_S55_L002_quant.sf
F1LB2_gastrula	1	F1LB2	F1	LP	F1	L	gastrula	20	11173045	timecourse	tc2	L001	F1LB2_LP_gastrula_20_11-12_S19_L001_quant.sf
F1LB2_swimming	1	F1LB2	F1	LP	F1	L	swimming	15	19531670	timecourse	tc2	L001	F1LB2_LP_swimming_15_11-12_S20_L001_quant.sf
F1LB3_gastrula	1	F1LB3	F1	LP	F1	L	gastrula	15	19012	timecourse	tc1	L002	F1LB3_LP_gastrula_15_10-17_S89_L002_quant.sf
F1LB3_swimming	1	F1LB3	F1	LP	F1	L	swimming	15	22537865	timecourse	tc2	L001	F1LB3_LP_swimming_15_10-7_S12_L001_quant.sf
F1LB4_16cell	1	F1LB4	F1	LP	F1	L	16cell	20	10132766	timecourse	tc1	L002	F1LB4_LP_16cell_20_9-21_S60_L002_quant.sf
F1LB4_gastrula	1	F1LB4	F1	LP	F1	L	gastrula	15	9423372	timecourse	tc1	L002	F1LB4_LP_gastrula_15_10-18_S82_L002_quant.sf
F1LB4_swimming	1	F1LB4	F1	LP	F1	L	swimming	15	6501351	timecourse	tc1	L002	F1LB4_LP_swimming_15_11-12_S51_L002_quant.sf
F1LB5_gastrula	1	F1LB5	F1	LP	F1	L	gastrula	20	17163701	timecourse	tc2	L001	F1LB5_LP_gastrula_20_10-25_S17_L001_quant.sf
F1LB5_swimming	1	F1LB5	F1	LP	F1	L	swimming	20	21425908	timecourse	tc2	L001	F1LB5_LP_swimming_20_10-13_S18_L001_quant.sf
F1LB6_16cell	1	F1LB6	F1	LP	F1	L	16cell	20	12613389	timecourse	tc2	L001	F1LB6_LP_16cell_20_11-1_S13_L001_quant.sf
F1LB6_gastrula	1	F1LB6	F1	LP	F1	L	gastrula	20	12350342	timecourse	tc1	L002	F1LB6_LP_gastrula_20_11-3_S68_L002_quant.sf
F1LB6_swimming	1	F1LB6	F1	LP	F1	L	swimming	15	7972046	timecourse	tc1	L002	F1LB6_LP_swimming_S74_L002_quant.sf
F1LB7_16cell	1	F1LB7	F1	LP	F1	L	16cell	20	106237912	timecourse	tc1	L002	F1LB7_LP_16cell_20_10-18_S96_L002_quant.sf
F1LB7_gastrula	1	F1LB7	F1	LP	F1	L	gastrula	15	110861166	timecourse	tc1	L002	F1LB7_LP_gastrula_15_11-7_S81_L002_quant.sf
F1LB7_swimming	1	F1LB7	F1	LP	F1	L	swimming	18	8931144	timecourse	tc1	L002	F1LB7_LP_swimming_18_10-12_S80_L002_quant.sf
F1LB8_16cell	1	F1LB8	F1	LP	F1	L	16cell	25	1334	timecourse	tc1	L002	F1LB8_LP_16cell_25_11-5_S88_L002_quant.sf
F1LB8_swimming	1	F1LB8	F1	LP	F1	L	swimming	15	9316680	timecourse	tc1	L002	F1LB8_LP_swimming_15_10-26_S90_L002_quant.sf
F1LB9_16cell	1	F1LB9	F1	LP	F1	L	16cell	20	13580356	timecourse	tc1	L002	F1LB9_LP_16cell_20_11-03_S91_L002_quant.sf
F1LB9_gastrula	1	F1LB9	F1	LP	F1	L	gastrula	20	13387084	timecourse	tc1	L002	F1LB9_LP_gastrula_20_10-11_S92_L002_quant.sf
F1LB9_swimming	1	F1LB9	F1	LP	F1	L	swimming	25	3962329	timecourse	tc1	L002	F1LB9_LP_swimming_25_10-14_S93_L002_quant.sf
LBA_16cell	1	LBA	LongBeach	LL	P0	L	16cell	20	9188459	timecourse	tc1	L002	LBA_LL_16cell_20_S87_L002_quant.sf
LBA_gastrula	1	LBA	LongBeach	LL	P0	L	gastrula	20	12294496	timecourse	tc1	L002	LBA_LL_gastrula_20_5-11_S94_L002_quant.sf
LBA_prototroch	1	LBA	LongBeach	LL	P0	L	prototroch	14	28159385	timecourse	tc1	L002	LBA_LL_prototroch_14_5-13_S95_L002_quant.sf
LBnewJ_16cell	1	LBnewJ	LongBeachNew	LL	P0	L	16cell	20	21768673	timecourse	tc1	L001	LBnewJ_LL_16cell_20_6-16_S18_L001_quant.sf
LBnewJ_1week	1	LBnewJ	LongBeachNew	LL	P0	L	1week	20	17951338	timecourse	tc1	L001	LBnewJ_LL_1week_20_7-7_S42_L001_quant.sf
LBnewJ_blastula	1	LBnewJ	LongBeachNew	LL	P0	L	blastula	20	13113542	timecourse	tc1	L001	LBnewJ_LL_blastula_20_6-16_S24_L001_quant.sf
LBnewJ_gastrula	1	LBnewJ	LongBeachNew	LL	P0	L	gastrula	20	8409251	timecourse	tc1	L001	LBnewJ_LL_gastrula_20_7-26_S26_L001_quant.sf
LBnewJ_prototroch	1	LBnewJ	LongBeachNew	LL	P0	L	prototroch	15	21884100	timecourse	tc1	L001	LBnewJ_LL_prototroch_15_7-28_S14_L001_quant.sf
LBnewJ_swimming	1	LBnewJ	LongBeachNew	LL	P0	L	swimming	20	25593016	timecourse	tc1	L001	LBnewJ_LL_swimming_20_7-5_S33_L001_quant.sf
LBnewL_16cell	1	LBnewL	LongBeachNew	LL	P0	L	16cell	20	13492988	timecourse	tc1	L001	LBnewL_LL_16cell_20_7-5_S41_L001_quant.sf
LBnewL_1week	1	LBnewL	LongBeachNew	LL	P0	L	1week	10	13123564	timecourse	tc1	L001	LBnewL_LL_1week_10_9-13_S32_L001_quant.sf
LBnewL_blastula	1	LBnewL	LongBeachNew	LL	P0	L	blastula	20	12535315	timecourse	tc1	L001	LBnewL_LL_blastula_20_8-1_S43_L001_quant.sf
LBnewL_gastrula	1	LBnewL	LongBeachNew	LL	P0	L	gastrula	20	9225975	timecourse	tc1	L001	LBnewL_LL_gastrula_20_7-20_S44_L001_quant.sf
LBnewL_prototroch	1	LBnewL	LongBeachNew	LL	P0	L	prototroch	15	5572338	timecourse	tc1	L001	LBnewL_LL_prototroch_15_7-21_1_S46_L001_quant.sf
LBnewL_prototroch	2	LBnewL	LongBeachNew	LL	P0	L	prototroch	15	4607522	timecourse	tc1	L001	LBnewL_LL_prototroch_15_7-21_2_S45_L001_quant.sf
LBnewL_swimming	1	LBnewL	LongBeachNew	LL	P0	L	swimming	10	11912435	timecourse	tc1	L001	LBnewL_LL_swimming_10_8-25_S31_L001_quant.sf
LBnewO_16cell	1	LBnewO	LongBeachNew	LL	P0	L	16cell	20	16494348	timecourse	tc1	L001	LBnewO_LL_16cell_20_7-7_S9_L001_quant.sf
LBnewO_1week	1	LBnewO	LongBeachNew	LL	P0	L	1week	10	9192083	timecourse	tc1	L001	LBnewO_LL_1week_10_9-5_S29_L001_quant.sf
LBnewO_blastula	1	LBnewO	LongBeachNew	LL	P0	L	blastula	20	15315112	timecourse	tc2	L001	LBnewO_LL_blastula_20_7-7_S2_seq2_L001_quant.sf
LBnewO_blastula	1	LBnewO	LongBeachNew	LL	P0	L	blastula	20	41730390	timecourse	tc1	L001	LBnewO_LL_blastula_20_7-7_S7_L001_quant.sf
LBnewO_gastrula	1	LBnewO	LongBeachNew	LL	P0	L	gastrula	20	9383911	timecourse	tc1	L001	LBnewO_LL_gastrula_20_7-9_S34_L001_quant.sf
LBnewO_prototroch	1	LBnewO	LongBeachNew	LL	P0	L	prototroch	20	17232911	timecourse	tc1	L001	LBnewO_LL_prototroch_20_6-30_S15_L001_quant.sf
LBnewO_swimming	1	LBnewO	LongBeachNew	LL	P0	L	swimming	15	10357177	timecourse	tc1	L001	LBnewO_LL_swimming_15_8-16_S28_L001_quant.sf
LBnewQ_1week	1	LBnewQ	LongBeachNew	LL	P0	L	1week	15	15895021	timecourse	tc1	L002	LBnewQ_LL_1week_15_7-29_S72_L002_quant.sf
LBnewQ_gastrula	1	LBnewQ	LongBeachNew	LL	P0	L	gastrula	20	31388582	timecourse	tc1	L001	LBnewQ_LL_gastrula_20_7-7_S16_L001_quant.sf
LBnewS_blastula	1	LBnewS	LongBeachNew	LL	P0	L	blastula	20	58501451	timecourse	tc1	L001	LBnewS_LL_blastula_20_7-5_S12_L001_quant.sf
LBnewS_prototroch	1	LBnewS	LongBeachNew	LL	P0	L	prototroch	20	19591332	timecourse	tc1	L001	LBnewS_LL_prototroch_20_7-21_S8_L001_quant.sf
LBnewS_swimming	1	LBnewS	LongBeachNew	LL	P0	L	swimming	20	12649286	timecourse	tc1	L002	LBnewS_LL_swimming_20_7-22_S71_L002_quant.sf
